"","Sample_set","Site","Date","Zone_name","Zone","Meter","Vegetation_species","pcent_basal_cover","Elevation_NAVD88","Elevation_MSL","Simplified_zone_name"
"1",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",0,"none/detritus",49,0.090525597,0.455525597,"Mangrove"
"2",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",0,"Pneumatophore",49,0.090525597,0.455525597,"Mangrove"
"3",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",0,"Rhizophora mangle",2,0.090525597,0.455525597,"Mangrove"
"4",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",0.5,"none/detritus",50,0.0940752051141805,0.459075205114181,"Mangrove"
"5",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",0.5,"Pneumatophore",50,0.0940752051141805,0.459075205114181,"Mangrove"
"6",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",1,"none/detritus",49.5,0.104093024235838,0.469093024235838,"Mangrove"
"7",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",1,"Pneumatophore",49.5,0.104093024235838,0.469093024235838,"Mangrove"
"8",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",1,"Rhizophora mangle",1,0.104093024235838,0.469093024235838,"Mangrove"
"9",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",1.5,"none/detritus",47.5,0.106116128993542,0.471116128993542,"Mangrove"
"10",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",1.5,"Pneumatophore",47.5,0.106116128993542,0.471116128993542,"Mangrove"
"11",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",1.5,"Rhizophora mangle",5,0.106116128993542,0.471116128993542,"Mangrove"
"12",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",2,"none/detritus",47.5,0.108139233751245,0.473139233751245,"Mangrove"
"13",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",2,"Pneumatophore",47.5,0.108139233751245,0.473139233751245,"Mangrove"
"14",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",2,"Rhizophora mangle",5,0.108139233751245,0.473139233751245,"Mangrove"
"15",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",2.5,"none/detritus",45,0.124947583848424,0.489947583848424,"Mangrove"
"16",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",2.5,"Pneumatophore",45,0.124947583848424,0.489947583848424,"Mangrove"
"17",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",2.5,"Rhizophora mangle",10,0.124947583848424,0.489947583848424,"Mangrove"
"18",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",3,"none/detritus",42.5,0.149148474335757,0.514148474335757,"Mangrove"
"19",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",3,"Pneumatophore",42.5,0.149148474335757,0.514148474335757,"Mangrove"
"20",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",3,"Rhizophora mangle",15,0.149148474335757,0.514148474335757,"Mangrove"
"21",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",3.5,"none/detritus",37.5,0.173349364823089,0.538349364823089,"Mangrove"
"22",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",3.5,"Pneumatophore",37.5,0.173349364823089,0.538349364823089,"Mangrove"
"23",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",3.5,"Rhizophora mangle",25,0.173349364823089,0.538349364823089,"Mangrove"
"24",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",4,"none/detritus",45,0.189173614294512,0.554173614294512,"Mangrove"
"25",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",4,"Pneumatophore",45,0.189173614294512,0.554173614294512,"Mangrove"
"26",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",4,"Rhizophora mangle",10,0.189173614294512,0.554173614294512,"Mangrove"
"27",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",4.5,"none/detritus",46.5,0.201933078993723,0.566933078993723,"Mangrove"
"28",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",4.5,"Pneumatophore",46.5,0.201933078993723,0.566933078993723,"Mangrove"
"29",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",4.5,"Rhizophora mangle",7,0.201933078993723,0.566933078993723,"Mangrove"
"30",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",5,"none/detritus",47.5,0.214692543692934,0.579692543692934,"Mangrove"
"31",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",5,"Pneumatophore",47.5,0.214692543692934,0.579692543692934,"Mangrove"
"32",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",5,"Rhizophora mangle",5,0.214692543692934,0.579692543692934,"Mangrove"
"33",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",5.5,"none/detritus",46.5,0.22136499340382,0.58636499340382,"Mangrove"
"34",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",5.5,"Pneumatophore",46.5,0.22136499340382,0.58636499340382,"Mangrove"
"35",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",5.5,"Rhizophora mangle",7,0.22136499340382,0.58636499340382,"Mangrove"
"36",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",6,"none/detritus",29.7,0.22668110359315,0.59168110359315,"Mangrove"
"37",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",6,"Pneumatophore",69.3,0.22668110359315,0.59168110359315,"Mangrove"
"38",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",6,"Rhizophora mangle",1,0.22668110359315,0.59168110359315,"Mangrove"
"39",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",6.5,"none/detritus",37.2,0.231997213782479,0.596997213782479,"Mangrove"
"40",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",6.5,"Pneumatophore",55.8,0.231997213782479,0.596997213782479,"Mangrove"
"41",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",6.5,"Rhizophora mangle",7,0.231997213782479,0.596997213782479,"Mangrove"
"42",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",7,"none/detritus",35.2,0.237729499079048,0.602729499079048,"Mangrove"
"43",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",7,"Pneumatophore",52.8,0.237729499079048,0.602729499079048,"Mangrove"
"44",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",7,"Rhizophora mangle",12,0.237729499079048,0.602729499079048,"Mangrove"
"45",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",7.5,"none/detritus",39.2,0.244002323707406,0.609002323707406,"Mangrove"
"46",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",7.5,"Pneumatophore",58.8,0.244002323707406,0.609002323707406,"Mangrove"
"47",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",7.5,"Rhizophora mangle",2,0.244002323707406,0.609002323707406,"Mangrove"
"48",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",8,"none/detritus",28.5,0.250275148335763,0.615275148335763,"Mangrove"
"49",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",8,"Pneumatophore",66.5,0.250275148335763,0.615275148335763,"Mangrove"
"50",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",8,"Rhizophora mangle",5,0.250275148335763,0.615275148335763,"Mangrove"
"51",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",8.5,"none/detritus",27,0.253053387819074,0.618053387819074,"Mangrove"
"52",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",8.5,"Pneumatophore",63,0.253053387819074,0.618053387819074,"Mangrove"
"53",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",8.5,"Rhizophora mangle",10,0.253053387819074,0.618053387819074,"Mangrove"
"54",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",9,"none/detritus",22.5,0.252600314129707,0.617600314129707,"Mangrove"
"55",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",9,"Pneumatophore",52.5,0.252600314129707,0.617600314129707,"Mangrove"
"56",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",9,"Rhizophora mangle",25,0.252600314129707,0.617600314129707,"Mangrove"
"57",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",9.5,"none/detritus",18,0.252147240440339,0.617147240440339,"Mangrove"
"58",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",9.5,"Pneumatophore",72,0.252147240440339,0.617147240440339,"Mangrove"
"59",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",9.5,"Rhizophora mangle",10,0.252147240440339,0.617147240440339,"Mangrove"
"60",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",10,"none/detritus",8.5,0.252850076884633,0.617850076884633,"Mangrove"
"61",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",10,"Pneumatophore",76.5,0.252850076884633,0.617850076884633,"Mangrove"
"62",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",10,"Rhizophora mangle",15,0.252850076884633,0.617850076884633,"Mangrove"
"63",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",10.5,"none/detritus",20,0.283942959923114,0.648942959923114,"Mangrove"
"64",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",10.5,"Pneumatophore",80,0.283942959923114,0.648942959923114,"Mangrove"
"65",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",11,"none/detritus",7,0.315035842961596,0.680035842961596,"Mangrove"
"66",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",11,"none/detritus",18.6,0.315035842961596,0.680035842961596,"Mangrove"
"67",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",11,"Pneumatophore",74.4,0.315035842961596,0.680035842961596,"Mangrove"
"68",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",11.5,"none/detritus",18.6,0.337892052188733,0.702892052188733,"Mangrove"
"69",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",11.5,"Pneumatophore",74.4,0.337892052188733,0.702892052188733,"Mangrove"
"70",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",11.5,"Rhizophora mangle",7,0.337892052188733,0.702892052188733,"Mangrove"
"71",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",12,"none/detritus",9.5,0.354644828230939,0.719644828230939,"Mangrove"
"72",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",12,"Pneumatophore",85.5,0.354644828230939,0.719644828230939,"Mangrove"
"73",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",12,"Rhizophora mangle",5,0.354644828230939,0.719644828230939,"Mangrove"
"74",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",12.5,"none/detritus",9.7,0.371397604273145,0.736397604273145,"Mangrove"
"75",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",12.5,"Pneumatophore",87.3,0.371397604273145,0.736397604273145,"Mangrove"
"76",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",12.5,"Rhizophora mangle",3,0.371397604273145,0.736397604273145,"Mangrove"
"77",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",13,"none/detritus",9.6,0.402567523144952,0.767567523144952,"Mangrove"
"78",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",13,"Pneumatophore",86.4,0.402567523144952,0.767567523144952,"Mangrove"
"79",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",13,"Rhizophora mangle",4,0.402567523144952,0.767567523144952,"Mangrove"
"80",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",13.5,"none/detritus",4.85,0.482920376535243,0.847920376535243,"Mangrove"
"81",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",13.5,"Pneumatophore",92.15,0.482920376535243,0.847920376535243,"Mangrove"
"82",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",13.5,"Rhizophora mangle",3,0.482920376535243,0.847920376535243,"Mangrove"
"83",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",14,"none/detritus",4.5,0.563273229925534,0.928273229925534,"Mangrove"
"84",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",14,"Pneumatophore",85.5,0.563273229925534,0.928273229925534,"Mangrove"
"85",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",14,"Rhizophora mangle",10,0.563273229925534,0.928273229925534,"Mangrove"
"86",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",14.5,"none/detritus",71.25,0.608333000287909,0.973333000287909,"Mangrove"
"87",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",14.5,"Pneumatophore",3.75,0.608333000287909,0.973333000287909,"Mangrove"
"88",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",14.5,"Rhizophora mangle",25,0.608333000287909,0.973333000287909,"Mangrove"
"89",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",15,"none/detritus",85.36,0.602243683293117,0.967243683293117,"Mangrove"
"90",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",15,"Pneumatophore",2.64,0.602243683293117,0.967243683293117,"Mangrove"
"91",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",15,"Rhizophora mangle",12,0.602243683293117,0.967243683293117,"Mangrove"
"92",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",15.5,"none/detritus",92.15,0.596154366298325,0.961154366298325,"Mangrove"
"93",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",15.5,"Pneumatophore",2.85,0.596154366298325,0.961154366298325,"Mangrove"
"94",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",15.5,"Rhizophora mangle",5,0.596154366298325,0.961154366298325,"Mangrove"
"95",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",16,"none/detritus",1.92,0.588057105579136,0.953057105579136,"Mangrove"
"96",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",16,"Pneumatophore",94.08,0.588057105579136,0.953057105579136,"Mangrove"
"97",1,"TECO (Big Bend)","3/19/2015","Mangrove Fringe","A",16,"Rhizophora mangle",4,0.588057105579136,0.953057105579136,"Mangrove"
"98",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",16.5,"none/detritus",98,0.568989766624783,0.933989766624783,"Salt-tolerant trees"
"99",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",16.5,"Schinus terebinthifolius",2,0.568989766624783,0.933989766624783,"Salt-tolerant trees"
"100",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",17,"none/detritus",100,0.54992242767043,0.91492242767043,"Salt-tolerant trees"
"101",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",17.5,"none/detritus",100,0.529619282925045,0.894619282925045,"Salt-tolerant trees"
"102",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",18,"Rhizophora mangle",1,0.500032954627933,0.865032954627933,"Salt-tolerant trees"
"103",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",18,"Sesuvium portulacastrum",99,0.500032954627933,0.865032954627933,"Salt-tolerant trees"
"104",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",18.5,"none/detritus",98,0.47044662633082,0.83544662633082,"Salt-tolerant trees"
"105",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",18.5,"Sesuvium portulacastrum",2,0.47044662633082,0.83544662633082,"Salt-tolerant trees"
"106",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",19,"none/detritus",98,0.443300951046113,0.808300951046113,"Salt-tolerant trees"
"107",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",19,"Rhizophora mangle",1,0.443300951046113,0.808300951046113,"Salt-tolerant trees"
"108",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",19,"Sesuvium portulacastrum",1,0.443300951046113,0.808300951046113,"Salt-tolerant trees"
"109",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",19.5,"Batis maritima",1,0.429932513023162,0.794932513023162,"Salt-tolerant trees"
"110",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",19.5,"none/detritus",97,0.429932513023162,0.794932513023162,"Salt-tolerant trees"
"111",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",19.5,"Rhizophora mangle",2,0.429932513023162,0.794932513023162,"Salt-tolerant trees"
"112",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",20,"none/detritus",95,0.416564075000211,0.781564075000211,"Salt-tolerant trees"
"113",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",20,"Rhizophora mangle",4,0.416564075000211,0.781564075000211,"Salt-tolerant trees"
"114",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",20,"Sesuvium portulacastrum",1,0.416564075000211,0.781564075000211,"Salt-tolerant trees"
"115",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",20.5,"none/detritus",91,0.403330754399503,0.768330754399503,"Salt-tolerant trees"
"116",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",20.5,"Pneumatophore",3,0.403330754399503,0.768330754399503,"Salt-tolerant trees"
"117",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",20.5,"Rhizophora mangle",6,0.403330754399503,0.768330754399503,"Salt-tolerant trees"
"118",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",21,"none/detritus",73,0.394986120495123,0.759986120495123,"Salt-tolerant trees"
"119",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",21,"Pneumatophore",1,0.394986120495123,0.759986120495123,"Salt-tolerant trees"
